target,avg_grade,risk_score
Enrolled,11.5,2
Graduate,11.33,2
Graduate,13.42,1
Enrolled,11.63,2
Dropout,12.05,2
Graduate,13.5,1
Dropout,0.0,3
Graduate,14.2,1
Dropout,5.5,3
Graduate,15.71,1
Graduate,13.01,1
Dropout,0.0,3
Enrolled,0.0,3
Dropout,0.0,3
Graduate,11.75,2
Dropout,11.33,2
Enrolled,10.67,2
Graduate,13.61,1
Enrolled,13.98,1
Graduate,15.95,1
Graduate,14.03,1
Enrolled,11.1,2
Graduate,13.76,1
Dropout,13.41,1
Graduate,13.56,1
Enrolled,11.04,2
Graduate,14.13,1
Graduate,12.43,2
Dropout,0.0,3
Enrolled,12.35,2
Dropout,0.0,3
Graduate,15.21,1
Enrolled,12.81,2
Enrolled,13.08,1
Dropout,11.86,2
Enrolled,13.5,1
Enrolled,10.33,2
Graduate,13.3,1
Graduate,11.83,2
Graduate,11.33,2
Graduate,13.0,1
Graduate,11.64,2
Enrolled,12.78,2
Graduate,14.42,1
Enrolled,11.88,2
Enrolled,11.67,2
Dropout,12.2,2
Dropout,11.42,2
Graduate,14.43,1
Graduate,12.86,2
Graduate,11.86,2
Graduate,12.57,2
Dropout,12.76,2
Dropout,5.33,3
Enrolled,11.4,2
Enrolled,10.33,2
Enrolled,11.63,2
Enrolled,12.38,2
Graduate,14.73,1
Graduate,0.0,3
Graduate,13.93,1
Graduate,15.3,1
Graduate,14.62,1
Dropout,0.0,3
Graduate,14.65,1
Graduate,12.4,2
Graduate,12.83,2
Graduate,14.8,1
Graduate,12.08,2
Graduate,14.7,1
Graduate,13.8,1
Dropout,11.3,2
Graduate,11.6,2
Dropout,0.0,3
Graduate,13.0,1
Graduate,14.47,1
Dropout,0.0,3
Graduate,13.25,1
Graduate,13.94,1
Graduate,13.92,1
Graduate,13.54,1
Enrolled,11.0,2
Dropout,0.0,3
Graduate,13.05,1
Graduate,12.08,2
Graduate,12.32,2
Graduate,12.9,2
Dropout,0.0,3
Graduate,14.39,1
Graduate,13.81,1
Enrolled,10.88,2
Graduate,14.08,1
Dropout,0.0,3
Graduate,11.3,2
Enrolled,8.0,3
Enrolled,12.0,2
Graduate,12.3,2
Graduate,12.69,2
Graduate,11.0,2
Graduate,13.58,1
Graduate,15.23,1
Dropout,13.5,1
Graduate,13.07,1
Enrolled,12.8,2
Graduate,14.4,1
Graduate,13.38,1
Graduate,14.06,1
Graduate,12.16,2
Enrolled,11.53,2
Graduate,11.08,2
Dropout,0.0,3
Dropout,12.8,2
Graduate,13.97,1
Graduate,12.92,2
Graduate,15.5,1
Graduate,13.64,1
Graduate,10.55,2
Graduate,11.2,2
Enrolled,10.5,2
Dropout,11.12,2
Enrolled,13.48,1
Graduate,13.13,1
Graduate,13.31,1
Graduate,11.39,2
Graduate,13.49,1
Graduate,12.08,2
Dropout,12.35,2
Graduate,13.97,1
Dropout,0.0,3
Graduate,12.15,2
Dropout,6.25,3
Dropout,0.0,3
Graduate,12.6,2
Enrolled,12.5,2
Graduate,12.83,2
Graduate,14.31,1
Dropout,0.0,3
Enrolled,12.83,2
Graduate,12.45,2
Graduate,12.43,2
Dropout,11.04,2
Dropout,11.58,2
Graduate,14.59,1
Graduate,12.68,2
Graduate,12.44,2
Graduate,14.1,1
Graduate,12.6,2
Enrolled,12.37,2
Enrolled,11.75,2
Dropout,11.25,2
Dropout,5.0,3
Graduate,12.0,2
Graduate,12.23,2
Graduate,12.77,2
Enrolled,11.97,2
Graduate,13.63,1
Enrolled,11.52,2
Dropout,6.0,3
Graduate,11.72,2
Enrolled,13.26,1
Enrolled,14.28,1
Graduate,13.17,1
Dropout,13.5,1
Dropout,0.0,3
Enrolled,5.38,3
Dropout,0.0,3
Graduate,12.13,2
Dropout,0.0,3
Dropout,0.0,3
Dropout,0.0,3
Graduate,12.45,2
Dropout,12.23,2
Dropout,10.5,2
Dropout,10.73,2
Graduate,12.61,2
Graduate,12.3,2
Graduate,13.25,1
Graduate,12.5,2
Dropout,6.0,3
Dropout,11.5,2
Enrolled,11.25,2
Graduate,0.0,3
Dropout,0.0,3
Dropout,12.69,2
Enrolled,11.67,2
Dropout,0.0,3
Graduate,11.69,2
Dropout,0.0,3
Graduate,0.0,3
Graduate,11.39,2
Dropout,7.0,3
Graduate,11.7,2
Graduate,13.01,1
Dropout,11.92,2
Graduate,14.77,1
Enrolled,11.0,2
Graduate,12.81,2
Graduate,15.57,1
Enrolled,12.9,2
Enrolled,10.6,2
Enrolled,13.85,1
Enrolled,13.56,1
Enrolled,13.5,1
Graduate,12.13,2
Dropout,12.0,2
Dropout,13.38,1
Dropout,12.72,2
Dropout,5.5,3
Dropout,0.0,3
Dropout,11.64,2
Enrolled,11.5,2
Graduate,0.0,3
Enrolled,11.08,2
Graduate,12.51,2
Graduate,12.05,2
Enrolled,11.83,2
Dropout,10.67,2
Graduate,13.35,1
Graduate,13.9,1
Graduate,14.36,1
Dropout,0.0,3
Dropout,11.5,2
Graduate,14.4,1
Graduate,12.25,2
Graduate,12.08,2
Dropout,6.0,3
Dropout,10.65,2
Enrolled,11.62,2
Graduate,0.0,3
Dropout,0.0,3
Graduate,13.83,1
Enrolled,10.4,2
Graduate,11.58,2
Graduate,13.56,1
Dropout,0.0,3
Graduate,12.58,2
Enrolled,14.06,1
Graduate,12.4,2
Graduate,11.7,2
Graduate,15.1,1
Graduate,12.6,2
Graduate,12.56,2
Graduate,11.83,2
Graduate,12.99,2
Graduate,14.19,1
Enrolled,12.08,2
Graduate,12.85,2
Enrolled,13.2,1
Enrolled,13.67,1
Dropout,11.5,2
Dropout,11.0,2
Dropout,12.63,2
Graduate,13.22,1
Graduate,11.68,2
Dropout,0.0,3
Dropout,12.3,2
Graduate,16.32,1
Graduate,12.42,2
Graduate,14.43,1
Dropout,0.0,3
Dropout,0.0,3
Graduate,12.36,2
Dropout,0.0,3
Enrolled,11.98,2
Graduate,13.21,1
Graduate,13.58,1
Graduate,12.0,2
Enrolled,12.1,2
Graduate,12.36,2
Graduate,13.86,1
Graduate,11.5,2
Graduate,13.32,1
Graduate,12.68,2
Enrolled,12.21,2
Graduate,13.17,1
Dropout,10.38,2
Dropout,11.75,2
Graduate,13.73,1
Dropout,13.0,1
Dropout,11.4,2
Graduate,11.11,2
Graduate,13.42,1
Graduate,13.58,1
Graduate,11.9,2
Graduate,12.04,2
Enrolled,12.6,2
Graduate,14.17,1
Graduate,11.35,2
Graduate,13.75,1
Graduate,12.42,2
Graduate,12.63,2
Enrolled,11.03,2
Graduate,11.4,2
Dropout,12.25,2
Dropout,6.75,3
Enrolled,11.33,2
Enrolled,11.42,2
Enrolled,14.27,1
Dropout,0.0,3
Enrolled,11.92,2
Enrolled,10.6,2
Graduate,13.42,1
Graduate,12.72,2
Graduate,11.13,2
Graduate,15.9,1
Enrolled,13.58,1
Graduate,12.61,2
Graduate,11.85,2
Graduate,11.38,2
Enrolled,10.7,2
Enrolled,10.3,2
Graduate,11.19,2
Graduate,12.4,2
Dropout,0.0,3
Graduate,15.67,1
Enrolled,11.75,2
Graduate,13.12,1
Graduate,12.63,2
Graduate,13.9,1
Graduate,15.7,1
Dropout,11.98,2
Graduate,13.18,1
Dropout,0.0,3
Graduate,13.47,1
Graduate,12.63,2
Dropout,14.08,1
Graduate,12.01,2
Graduate,12.43,2
Graduate,12.83,2
Dropout,10.5,2
Graduate,14.5,1
Enrolled,11.92,2
Dropout,7.5,3
Graduate,0.0,3
Graduate,10.75,2
Graduate,13.57,1
Dropout,14.2,1
Dropout,0.0,3
Graduate,11.61,2
Graduate,12.5,2
Dropout,11.67,2
Graduate,12.16,2
Graduate,12.9,2
Dropout,0.0,3
Dropout,0.0,3
Graduate,12.53,2
Enrolled,12.79,2
Dropout,5.63,3
Graduate,14.75,1
Dropout,13.42,1
Graduate,13.67,1
Enrolled,10.4,2
Graduate,12.16,2
Dropout,17.17,1
Enrolled,12.6,2
Dropout,13.83,1
Dropout,13.19,1
Dropout,0.0,3
Graduate,13.98,1
Dropout,13.17,1
Graduate,12.32,2
Graduate,14.17,1
Graduate,15.25,1
Dropout,0.0,3
Dropout,0.0,3
Dropout,0.0,3
Graduate,12.55,2
Graduate,13.11,1
Graduate,13.95,1
Graduate,11.92,2
Dropout,0.0,3
Dropout,7.17,3
Enrolled,16.7,1
Enrolled,13.1,1
Dropout,12.33,2
Enrolled,12.5,2
Graduate,0.0,3
Dropout,5.5,3
Dropout,0.0,3
Graduate,15.89,1
Graduate,14.4,1
Dropout,0.0,3
Graduate,0.0,3
Enrolled,12.48,2
Dropout,12.08,2
Graduate,11.9,2
Graduate,11.8,2
Graduate,12.21,2
Dropout,0.0,3
Graduate,11.94,2
Enrolled,11.81,2
Dropout,10.67,2
Enrolled,11.59,2
Dropout,13.42,1
Dropout,0.0,3
Graduate,13.46,1
Dropout,13.3,1
Dropout,10.92,2
Graduate,14.0,1
Dropout,0.0,3
Dropout,11.17,2
Graduate,11.96,2
Dropout,0.0,3
Graduate,13.71,1
Graduate,12.54,2
Graduate,14.0,1
Graduate,13.11,1
Dropout,0.0,3
Graduate,13.83,1
Dropout,0.0,3
Dropout,11.79,2
Dropout,11.18,2
Graduate,12.67,2
Graduate,11.59,2
Graduate,12.3,2
Enrolled,0.0,3
Graduate,12.0,2
Enrolled,10.5,2
Graduate,13.56,1
Enrolled,10.7,2
Enrolled,12.2,2
Graduate,12.45,2
Graduate,14.1,1
Graduate,14.58,1
Graduate,15.14,1
Dropout,0.0,3
Enrolled,13.35,1
Graduate,12.25,2
Enrolled,12.0,2
Dropout,12.0,2
Graduate,15.31,1
Dropout,13.29,1
Enrolled,13.08,1
Graduate,13.17,1
Graduate,15.25,1
Dropout,11.08,2
Graduate,14.65,1
Enrolled,13.35,1
Graduate,12.57,2
Graduate,11.49,2
Graduate,13.83,1
Graduate,14.54,1
Dropout,14.2,1
Graduate,0.0,3
Graduate,13.5,1
Dropout,5.75,3
Graduate,11.88,2
Graduate,12.8,2
Graduate,12.67,2
Graduate,14.5,1
Graduate,13.11,1
Graduate,13.02,1
Graduate,13.5,1
Enrolled,12.46,2
Enrolled,11.5,2
Dropout,0.0,3
Graduate,12.9,2
Graduate,14.75,1
Graduate,14.07,1
Enrolled,10.75,2
Graduate,12.58,2
Enrolled,13.5,1
Dropout,0.0,3
Enrolled,11.33,2
Dropout,0.0,3
Graduate,12.9,2
Graduate,13.89,1
Graduate,14.3,1
Graduate,15.36,1
Enrolled,12.73,2
Enrolled,12.0,2
Graduate,13.67,1
Enrolled,13.31,1
Graduate,12.83,2
Graduate,11.8,2
Graduate,0.0,3
Enrolled,13.96,1
Graduate,12.93,2
Graduate,12.0,2
Graduate,14.0,1
Dropout,12.37,2
Graduate,15.58,1
Graduate,14.25,1
Dropout,0.0,3
Dropout,11.33,2
Dropout,0.0,3
Enrolled,12.85,2
Dropout,11.0,2
Dropout,0.0,3
Enrolled,11.5,2
Dropout,12.04,2
Enrolled,12.96,2
Dropout,0.0,3
Graduate,13.1,1
Dropout,0.0,3
Enrolled,12.75,2
Dropout,0.0,3
Graduate,14.02,1
Graduate,11.1,2
Dropout,0.0,3
Graduate,11.2,2
Graduate,10.46,2
Enrolled,13.48,1
Graduate,14.01,1
Graduate,13.29,1
Enrolled,11.93,2
Graduate,14.01,1
Graduate,13.84,1
Enrolled,0.0,3
Dropout,5.9,3
Dropout,13.25,1
Dropout,0.0,3
Dropout,0.0,3
Dropout,10.38,2
Dropout,12.93,2
Dropout,0.0,3
Dropout,12.07,2
Dropout,14.25,1
Dropout,13.75,1
Graduate,14.87,1
Dropout,0.0,3
Dropout,0.0,3
Graduate,13.33,1
Graduate,0.0,3
Graduate,12.82,2
Dropout,15.5,1
Graduate,11.52,2
Enrolled,11.39,2
Graduate,14.75,1
Graduate,13.24,1
Dropout,11.25,2
Dropout,5.0,3
Graduate,11.97,2
Dropout,12.17,2
Graduate,13.43,1
Graduate,0.0,3
Dropout,5.5,3
Dropout,12.21,2
Graduate,12.6,2
Graduate,12.27,2
Graduate,13.08,1
Graduate,11.0,2
Graduate,14.68,1
Graduate,12.13,2
Graduate,14.33,1
Dropout,0.0,3
Graduate,14.43,1
Dropout,0.0,3
Graduate,12.15,2
Dropout,12.17,2
Graduate,12.75,2
Graduate,12.94,2
Enrolled,10.92,2
Graduate,13.5,1
Dropout,12.0,2
Graduate,11.31,2
Graduate,12.89,2
Graduate,12.95,2
Dropout,5.0,3
Graduate,12.82,2
Dropout,0.0,3
Graduate,11.36,2
Enrolled,10.63,2
Dropout,0.0,3
Graduate,13.25,1
Graduate,13.08,1
Dropout,10.8,2
Graduate,11.6,2
Dropout,0.0,3
Graduate,13.33,1
Dropout,0.0,3
Dropout,0.0,3
Graduate,14.58,1
Graduate,12.58,2
Graduate,11.08,2
Graduate,11.17,2
Dropout,12.0,2
Dropout,11.0,2
Enrolled,10.67,2
Graduate,13.7,1
Dropout,7.0,3
Enrolled,11.77,2
Enrolled,0.0,3
Dropout,0.0,3
Enrolled,11.75,2
Graduate,13.14,1
Graduate,14.36,1
Dropout,11.25,2
Enrolled,11.71,2
Graduate,13.79,1
Dropout,10.38,2
Enrolled,12.71,2
Enrolled,12.46,2
Dropout,11.2,2
Graduate,12.7,2
Graduate,13.14,1
Enrolled,0.0,3
Dropout,0.0,3
Graduate,15.68,1
Graduate,12.92,2
Graduate,13.22,1
Dropout,0.0,3
Graduate,11.45,2
Dropout,0.0,3
Graduate,11.3,2
Dropout,0.0,3
Graduate,13.12,1
Dropout,0.0,3
Dropout,11.63,2
Dropout,12.17,2
Graduate,11.83,2
Graduate,12.75,2
Graduate,12.93,2
Dropout,0.0,3
Dropout,11.58,2
Graduate,13.55,1
Graduate,13.43,1
Enrolled,12.08,2
Graduate,10.93,2
Graduate,12.9,2
Dropout,0.0,3
Dropout,0.0,3
Dropout,0.0,3
Enrolled,10.58,2
Graduate,14.25,1
Dropout,5.0,3
Dropout,0.0,3
Graduate,15.75,1
Graduate,11.71,2
Enrolled,11.17,2
Graduate,12.67,2
Graduate,12.53,2
Dropout,12.63,2
Graduate,12.08,2
Dropout,10.88,2
Enrolled,11.2,2
Graduate,12.25,2
Enrolled,11.29,2
Dropout,13.0,1
Graduate,13.71,1
Graduate,15.34,1
Dropout,5.4,3
Dropout,11.0,2
Dropout,13.0,1
Graduate,15.53,1
Graduate,13.4,1
Dropout,11.21,2
Graduate,13.83,1
Graduate,13.55,1
Graduate,14.25,1
Enrolled,14.01,1
Enrolled,12.15,2
Graduate,13.03,1
Dropout,12.75,2
Dropout,0.0,3
Dropout,0.0,3
Graduate,0.0,3
Graduate,11.1,2
Dropout,16.96,1
Graduate,12.83,2
Graduate,15.23,1
Graduate,13.0,1
Graduate,14.43,1
Graduate,13.79,1
Graduate,13.16,1
Graduate,12.01,2
Graduate,13.3,1
Dropout,0.0,3
Graduate,11.7,2
Graduate,12.33,2
Dropout,5.5,3
Graduate,13.05,1
Dropout,5.5,3
Graduate,12.06,2
Graduate,12.98,2
Graduate,11.27,2
Graduate,11.68,2
Graduate,14.0,1
Graduate,13.0,1
Dropout,11.0,2
Graduate,13.0,1
Graduate,11.93,2
Graduate,14.03,1
Graduate,13.31,1
Graduate,10.55,2
Enrolled,11.38,2
Graduate,13.79,1
Graduate,14.41,1
Dropout,6.5,3
Enrolled,14.17,1
Dropout,0.0,3
Graduate,13.58,1
Graduate,12.42,2
Enrolled,11.47,2
Graduate,11.1,2
Graduate,12.79,2
Graduate,11.41,2
Graduate,12.21,2
Graduate,11.9,2
Dropout,0.0,3
Dropout,13.17,1
Graduate,14.1,1
Graduate,12.67,2
Graduate,15.55,1
Graduate,0.0,3
Graduate,14.58,1
Dropout,15.02,1
Graduate,13.0,1
Graduate,15.33,1
Graduate,14.19,1
Dropout,12.37,2
Graduate,14.57,1
Dropout,11.23,2
Graduate,12.69,2
Dropout,13.41,1
Dropout,0.0,3
Graduate,11.08,2
Graduate,14.45,1
Enrolled,12.68,2
Dropout,14.31,1
Graduate,13.42,1
Graduate,11.87,2
Graduate,13.96,1
Graduate,13.0,1
Graduate,14.75,1
Graduate,13.74,1
Enrolled,12.5,2
Graduate,14.3,1
Graduate,12.7,2
Graduate,12.67,2
Dropout,11.86,2
Dropout,13.25,1
Dropout,0.0,3
Graduate,13.57,1
Graduate,12.92,2
Graduate,12.1,2
Enrolled,12.4,2
Graduate,14.14,1
Graduate,12.67,2
Dropout,0.0,3
Graduate,13.67,1
Graduate,12.08,2
Enrolled,12.37,2
Enrolled,0.0,3
Graduate,12.0,2
Dropout,0.0,3
Graduate,11.33,2
Dropout,11.79,2
Graduate,12.93,2
Dropout,12.17,2
Dropout,0.0,3
Graduate,11.73,2
Graduate,12.75,2
Graduate,14.07,1
Dropout,13.73,1
Dropout,0.0,3
Enrolled,11.13,2
Enrolled,10.87,2
Graduate,12.3,2
Dropout,0.0,3
Dropout,14.9,1
Graduate,12.55,2
Dropout,10.8,2
Graduate,12.53,2
Graduate,12.33,2
Graduate,12.73,2
Enrolled,12.56,2
Enrolled,11.0,2
Graduate,13.91,1
Graduate,13.12,1
Dropout,0.0,3
Graduate,13.14,1
Enrolled,11.78,2
Graduate,12.33,2
Enrolled,16.08,1
Graduate,13.27,1
Graduate,13.92,1
Graduate,13.0,1
Graduate,13.17,1
Graduate,13.1,1
Graduate,16.79,1
Graduate,10.8,2
Graduate,13.8,1
Graduate,12.11,2
Graduate,13.06,1
Graduate,13.29,1
Enrolled,10.83,2
Graduate,14.62,1
Dropout,0.0,3
Dropout,11.13,2
Graduate,13.81,1
Dropout,11.92,2
Graduate,13.3,1
Graduate,14.09,1
Graduate,13.1,1
Enrolled,11.7,2
Dropout,14.38,1
Graduate,12.95,2
Enrolled,12.31,2
Graduate,12.8,2
Enrolled,0.0,3
Graduate,11.45,2
Enrolled,12.08,2
Graduate,13.49,1
Graduate,11.64,2
Dropout,0.0,3
Enrolled,12.38,2
Enrolled,13.35,1
Graduate,13.26,1
Enrolled,12.13,2
Dropout,10.83,2
Graduate,13.04,1
Graduate,11.82,2
Graduate,13.74,1
Graduate,11.4,2
Enrolled,13.13,1
Graduate,14.65,1
Graduate,11.33,2
Dropout,6.85,3
Graduate,14.24,1
Dropout,11.45,2
Graduate,12.67,2
Dropout,13.93,1
Graduate,11.63,2
Graduate,12.2,2
Graduate,15.07,1
Dropout,11.0,2
Enrolled,12.33,2
Graduate,12.8,2
Dropout,11.13,2
Graduate,12.87,2
Graduate,14.4,1
Dropout,10.92,2
Graduate,12.57,2
Dropout,11.92,2
Graduate,11.88,2
Graduate,12.25,2
Dropout,13.48,1
Enrolled,12.77,2
Graduate,11.71,2
Enrolled,12.83,2
Dropout,10.5,2
Graduate,11.58,2
Graduate,13.57,1
Dropout,0.0,3
Graduate,12.04,2
Graduate,0.0,3
Graduate,14.18,1
Graduate,15.38,1
Enrolled,12.11,2
Dropout,5.0,3
Dropout,11.29,2
Graduate,14.83,1
Graduate,15.97,1
Graduate,15.14,1
Graduate,12.98,2
Dropout,12.73,2
Graduate,11.68,2
Dropout,6.5,3
Graduate,12.81,2
Graduate,12.33,2
Enrolled,12.89,2
Dropout,5.5,3
Dropout,11.38,2
Dropout,0.0,3
Enrolled,11.13,2
Graduate,13.63,1
Graduate,12.25,2
Enrolled,12.88,2
Graduate,16.64,1
Graduate,12.0,2
Graduate,12.89,2
Graduate,12.76,2
Graduate,12.96,2
Dropout,0.0,3
Graduate,15.14,1
Dropout,0.0,3
Graduate,13.17,1
Graduate,13.58,1
Graduate,15.49,1
Graduate,11.13,2
Graduate,11.6,2
Graduate,13.76,1
Enrolled,12.73,2
Graduate,11.46,2
Graduate,11.92,2
Graduate,14.36,1
Graduate,12.75,2
Graduate,13.93,1
Dropout,11.5,2
Graduate,13.59,1
Dropout,8.0,3
Graduate,13.16,1
Dropout,0.0,3
Dropout,11.2,2
Dropout,11.33,2
Enrolled,10.5,2
Graduate,13.33,1
Dropout,10.88,2
Dropout,11.5,2
Graduate,13.17,1
Dropout,0.0,3
Enrolled,11.5,2
Dropout,12.4,2
Graduate,15.42,1
